Site,Sample depth,Age,Mg/Ca,Mg/Ca adj,Species,Paleodepth,Reference
ODP1209,132.53,37.66,1.37,1.88,Cibicidoides spp. Dawber,2391,DawberTripati11
ODP1209,132.58,37.668,,,Cibicidoides spp. Dawber,2391,DawberTripati11
ODP1209,132.58,37.668,,,Oridorsalis umbonatus,2391,DawberTripati11
ODP1209,132.68,37.677,,,Cibicidoides spp. Dawber,2391,DawberTripati11
ODP1209,132.73,37.685,1.13,1.57,Cibicidoides spp. Dawber,2391,DawberTripati11
ODP1209,132.78,37.702,,,Cibicidoides spp. Dawber,2391,DawberTripati11
ODP1209,132.41,37.702,1.95,1.99,Oridorsalis umbonatus,2391,DawberTripati11
ODP1209,132.83,37.71,1.33,1.83,Cibicidoides spp. Dawber,2391,DawberTripati11
ODP1218,233.55,37.72,,,Oridorsalis umbonatus,3670,LearRosenthalOthers04
ODP1209,132.88,37.727,,,Cibicidoides spp. Dawber,2391,DawberTripati11
ODP1209,132.88,37.727,1.47,2.01,Cibicidoides spp. Dawber,2391,DawberTripati11
ODP1209,132.93,37.735,1.32,1.81,Cibicidoides spp. Dawber,2391,DawberTripati11
ODP1209,132.58,37.743,1.78,1.82,Oridorsalis umbonatus,2391,DawberTripati11
ODP1209,132.98,37.752,,,Cibicidoides spp. Dawber,2391,DawberTripati11
ODP1209,133.03,37.76,1.42,1.94,Cibicidoides spp. Dawber,2391,DawberTripati11
ODP1209,133.13,37.785,1.29,1.77,Cibicidoides spp. Dawber,2391,DawberTripati11
ODP1209,132.75,37.794,1.51,1.55,Oridorsalis umbonatus,2391,DawberTripati11
ODP1209,133.23,37.81,,,Nuttallides truempyi,2391,DawberTripati11
ODP0757,134.5,37.819,1.67,,Cibicidoides spp.,684,BillupsSchrag03
ODP1209,133.28,37.819,,,Nuttallides truempyi,2391,DawberTripati11
ODP1209,133.33,37.835,,,Nuttallides truempyi,2391,DawberTripati11
ODP1209,133.38,37.844,,,Nuttallides truempyi,2391,DawberTripati11
ODP1209,133.43,37.86,,,Nuttallides truempyi,2391,DawberTripati11
ODP1209,133,37.86,1.61,1.65,Oridorsalis umbonatus,2391,DawberTripati11
ODP1209,133.48,37.877,,,Nuttallides truempyi,2391,DawberTripati11
ODP1209,133.25,37.877,2,2.04,Oridorsalis umbonatus,2391,DawberTripati11
ODP1209,133.53,37.885,,,Cibicidoides spp. Dawber,2391,DawberTripati11
ODP1209,133.53,37.885,1.18,2.31,Nuttallides truempyi,2391,DawberTripati11
ODP1209,133.36,37.902,1.28,2.5,Nuttallides truempyi,2391,DawberTripati11
ODP1209,133.58,37.902,,,Nuttallides truempyi,2391,DawberTripati11
ODP1209,133.44,37.919,1.49,2.03,Cibicidoides spp. Dawber,2391,DawberTripati11
ODP1209,133.63,37.919,,,Cibicidoides spp. Dawber,2391,DawberTripati11
ODP1209,133.63,37.919,,,Nuttallides truempyi,2391,DawberTripati11
ODP1209,133.63,37.919,,,Oridorsalis umbonatus,2391,DawberTripati11
ODP1218,234.55,37.924,,,Oridorsalis umbonatus,3659,LearRosenthalOthers04
ODP0689,145.45,37.935,1.89,1.78,Cibicidoides spp. Billups,1601,BillupsSchrag03
ODP1209,133.49,37.935,1.55,2.11,Cibicidoides spp. Dawber,2391,DawberTripati11
ODP1209,133.68,37.935,,,Cibicidoides spp. Dawber,2391,DawberTripati11
ODP1209,133.3,37.944,1.72,1.76,Oridorsalis umbonatus,2391,DawberTripati11
ODP1209,133.56,37.952,1.53,2.09,Cibicidoides spp. Dawber,2391,DawberTripati11
ODP1209,133.73,37.952,1.34,2.61,Nuttallides truempyi,2391,DawberTripati11
ODP0689,145.48,37.953,1.94,1.91,Oridorsalis umbonatus,1600,LearElderfieldOthers00
ODP0689,145.48,37.953,1.57,2.06,Cibicidoides spp. Lear,1600,LearElderfieldOthers00
ODP0689,145.48,37.953,1.39,2.59,Nuttallides truempyi,1600,LearElderfieldOthers00
ODP1209,133.78,37.96,1.39,1.9,Cibicidoides spp. Dawber,2391,DawberTripati11
ODP1209,133.6,37.96,1.68,1.72,Oridorsalis umbonatus,2391,DawberTripati11
ODP1209,133.65,37.969,2.1,2.14,Oridorsalis umbonatus,2391,DawberTripati11
ODP1209,133.83,37.977,1.5,2.05,Cibicidoides spp. Dawber,2391,DawberTripati11
ODP1209,133.68,37.977,1.91,1.95,Oridorsalis umbonatus,2391,DawberTripati11
ODP1209,133.72,37.985,1.71,1.75,Oridorsalis umbonatus,2391,DawberTripati11
ODP0689,145.53,37.986,1.83,1.8,Oridorsalis umbonatus,1600,LearElderfieldOthers00
ODP0689,145.53,37.986,1.16,2.15,Nuttallides truempyi,1600,LearElderfieldOthers00
ODP1209,133.88,37.994,1.43,1.96,Cibicidoides spp. Dawber,2391,DawberTripati11
ODP1209,133.76,37.994,1.88,1.92,Oridorsalis umbonatus,2391,DawberTripati11
ODP1209,133.88,37.994,,,Oridorsalis umbonatus,2391,DawberTripati11
ODP1209,131.94,37.994,1.76,1.8,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,133.79,38.002,1.78,1.82,Oridorsalis umbonatus,2391,DawberTripati11
ODP1209,133.9,38.002,1.87,1.91,Oridorsalis umbonatus,2391,DawberTripati11
ODP1209,133.93,38.01,1.46,2,Cibicidoides spp. Dawber,2391,DawberTripati11
ODP1209,133.86,38.019,1.47,2.01,Cibicidoides spp. Dawber,2391,DawberTripati11
ODP1209,133.59,38.019,1.92,1.96,Oridorsalis umbonatus,2391,DawberTripati11
ODP1218,236.55,38.021,,,Oridorsalis umbonatus,3655,LearRosenthalOthers04
ODP1209,133.98,38.027,1.38,1.89,Cibicidoides spp. Dawber,2391,DawberTripati11
ODP1209,133.9,38.027,1.75,1.79,Oridorsalis umbonatus,2391,DawberTripati11
ODP1209,134,38.027,1.83,1.87,Oridorsalis umbonatus,2391,DawberTripati11
ODP1218,236.58,38.028,,,Oridorsalis umbonatus,3655,LearRosenthalOthers04
ODP1209,133.93,38.035,1.76,1.8,Oridorsalis umbonatus,2391,DawberTripati11
ODP1209,134.03,38.035,1.93,1.97,Oridorsalis umbonatus,2391,DawberTripati11
ODP1218,235.05,38.039,,,Oridorsalis umbonatus,3653,LearRosenthalOthers04
ODP1209,134.05,38.044,1.87,1.91,Oridorsalis umbonatus,2391,DawberTripati11
ODP1209,134.08,38.052,,,Cibicidoides spp. Dawber,2391,DawberTripati11
ODP1209,133.98,38.052,1.89,1.93,Oridorsalis umbonatus,2391,DawberTripati11
ODP1209,134,38.052,1.9,1.94,Oridorsalis umbonatus,2391,DawberTripati11
ODP1209,134.08,38.052,1.99,2.03,Oridorsalis umbonatus,2391,DawberTripati11
ODP1209,134.13,38.069,1.06,2.08,Nuttallides truempyi,2391,DawberTripati11
ODP1209,134.06,38.069,1.88,1.92,Oridorsalis umbonatus,2391,DawberTripati11
ODP1209,134.15,38.069,1.62,1.66,Oridorsalis umbonatus,2391,DawberTripati11
ODP1209,134.08,38.077,,,Oridorsalis umbonatus,2391,DawberTripati11
ODP1209,133.77,38.077,1.78,1.82,Oridorsalis umbonatus,2391,DawberTripati11
ODP1209,134.13,38.086,1.77,1.81,Oridorsalis umbonatus,2391,DawberTripati11
ODP1209,134.18,38.086,,,Oridorsalis umbonatus,2391,DawberTripati11
ODP1218,237.05,38.09,,,Oridorsalis umbonatus,3651,LearRosenthalOthers04
ODP1209,134.16,38.094,1.81,1.85,Oridorsalis umbonatus,2391,DawberTripati11
ODP1209,134.18,38.094,1.77,1.81,Oridorsalis umbonatus,2391,DawberTripati11
ODP1209,134.23,38.102,1.64,1.68,Oridorsalis umbonatus,2391,DawberTripati11
ODP1209,134.24,38.111,1.09,2.14,Nuttallides truempyi,2391,DawberTripati11
ODP1209,134.28,38.111,1.55,1.59,Oridorsalis umbonatus,2391,DawberTripati11
ODP0757,136,38.119,1.42,,Cibicidoides spp.,671,BillupsSchrag03
ODP1209,134.26,38.119,1.83,1.87,Oridorsalis umbonatus,2391,DawberTripati11
ODP1209,134.29,38.127,1.75,1.79,Oridorsalis umbonatus,2391,DawberTripati11
ODP1209,134.32,38.127,1.83,1.87,Oridorsalis umbonatus,2391,DawberTripati11
ODP1209,134.33,38.127,1.73,1.77,Oridorsalis umbonatus,2391,DawberTripati11
ODP1209,134.34,38.136,1.95,1.99,Oridorsalis umbonatus,2391,DawberTripati11
ODP1209,134.39,38.144,,,Oridorsalis umbonatus,2391,DawberTripati11
ODP1209,134.38,38.144,2.02,2.06,Oridorsalis umbonatus,2391,DawberTripati11
ODP1209,134.41,38.153,1.91,1.95,Oridorsalis umbonatus,2391,DawberTripati11
ODP1218,237.55,38.154,,,Oridorsalis umbonatus,3648,LearRosenthalOthers04
ODP0689,147,38.156,1.62,1.59,Oridorsalis umbonatus,1596,LearElderfieldOthers00
ODP0689,147,38.156,1.64,2.15,Cibicidoides spp. Lear,1596,LearElderfieldOthers00
ODP1209,134.44,38.161,1.95,1.99,Oridorsalis umbonatus,2391,DawberTripati11
ODP1209,134.43,38.161,2,2.04,Oridorsalis umbonatus,2391,DawberTripati11
ODP0689,147.08,38.163,2.51,2.48,Oridorsalis umbonatus,1596,LearElderfieldOthers00
ODP0689,147.13,38.169,2.09,1.96,Cibicidoides spp. Billups,1596,BillupsSchrag03
ODP1209,134.47,38.169,2.16,2.2,Oridorsalis umbonatus,2391,DawberTripati11
ODP1209,134.48,38.169,1.95,1.99,Oridorsalis umbonatus,2391,DawberTripati11
ODP1209,132.9,38.169,1.67,1.71,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,134.5,38.178,2.07,2.11,Oridorsalis umbonatus,2391,DawberTripati11
ODP1209,134.55,38.186,2.02,2.06,Oridorsalis umbonatus,2391,DawberTripati11
ODP1209,134.53,38.186,2.02,2.06,Oridorsalis umbonatus,2391,DawberTripati11
ODP1209,134.57,38.194,1.99,2.03,Oridorsalis umbonatus,2391,DawberTripati11
ODP1209,134.6,38.194,1.97,2.01,Oridorsalis umbonatus,2391,DawberTripati11
ODP1209,134.58,38.203,2.09,2.13,Oridorsalis umbonatus,2391,DawberTripati11
ODP1209,134.65,38.211,2.01,2.05,Oridorsalis umbonatus,2391,DawberTripati11
ODP1209,134.67,38.211,1.9,1.94,Oridorsalis umbonatus,2391,DawberTripati11
ODP1209,134.7,38.22,1.79,1.83,Oridorsalis umbonatus,2391,DawberTripati11
ODP1209,134.63,38.22,1.95,1.99,Oridorsalis umbonatus,2391,DawberTripati11
ODP1209,134.75,38.236,1.92,1.96,Oridorsalis umbonatus,2391,DawberTripati11
ODP1209,134.78,38.236,1.97,2.01,Oridorsalis umbonatus,2391,DawberTripati11
ODP1209,134.68,38.236,1.72,1.76,Oridorsalis umbonatus,2391,DawberTripati11
ODP1209,134.8,38.245,2.16,2.2,Oridorsalis umbonatus,2391,DawberTripati11
ODP1209,134.73,38.245,1.94,1.98,Oridorsalis umbonatus,2391,DawberTripati11
ODP1209,134.86,38.261,2.06,2.1,Oridorsalis umbonatus,2391,DawberTripati11
ODP1209,134.78,38.261,1.85,1.89,Oridorsalis umbonatus,2391,DawberTripati11
ODP1209,134.91,38.27,,,Nuttallides truempyi,2391,DawberTripati11
ODP1209,134.89,38.27,1.92,1.96,Oridorsalis umbonatus,2391,DawberTripati11
ODP1209,134.83,38.278,1,1.97,Nuttallides truempyi,2390,DawberTripati11
ODP1209,134.94,38.278,2.17,2.21,Oridorsalis umbonatus,2391,DawberTripati11
ODP1209,133.49,38.278,1.66,1.7,Oridorsalis umbonatus,2390,DawberTripati11
ODP1218,238.55,38.284,,,Oridorsalis umbonatus,3641,LearRosenthalOthers04
ODP1209,134.96,38.287,,,Nuttallides truempyi,2391,DawberTripati11
ODP1209,135.01,38.295,1.11,2.18,Nuttallides truempyi,2391,DawberTripati11
ODP1209,134.88,38.295,1.59,1.63,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,135.07,38.312,1.11,2.18,Nuttallides truempyi,2391,DawberTripati11
ODP1209,134.93,38.312,2.31,2.35,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,135.1,38.32,1.92,1.96,Oridorsalis umbonatus,2391,DawberTripati11
ODP1209,134.98,38.32,1.97,2.01,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,135.13,38.328,2.01,2.05,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,135.16,38.328,1.81,1.85,Oridorsalis umbonatus,2391,DawberTripati11
ODP1209,135.18,38.337,2.01,2.05,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,135.03,38.337,2.01,2.05,Oridorsalis umbonatus,2390,DawberTripati11
ODP1218,239.05,38.349,,,Oridorsalis umbonatus,3638,LearRosenthalOthers04
ODP1209,135.24,38.354,1.81,1.85,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,135.26,38.354,1.8,1.84,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,135.08,38.354,2.09,2.13,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,135.3,38.362,2.22,2.26,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,135.13,38.37,2.01,2.05,Oridorsalis umbonatus,2390,DawberTripati11
ODP0757,137.5,38.379,1.77,,Cibicidoides spp.,660,BillupsSchrag03
ODP1209,135.35,38.379,1.93,1.97,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,135.4,38.387,1.97,2.01,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,135.18,38.387,2,2.04,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,135.43,38.395,1.64,1.68,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,135.23,38.395,1.97,2.01,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,135.45,38.404,2.03,2.07,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,135.5,38.412,2.26,2.3,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,135.28,38.412,1.97,2.01,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,135.52,38.421,1.89,1.93,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,135.55,38.429,2.05,2.09,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,135.58,38.429,1.95,1.99,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,135.33,38.429,2.03,2.07,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,135.6,38.437,1.87,1.91,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,135.65,38.446,1.96,2,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,135.38,38.446,1.89,1.93,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,135.68,38.454,2.03,2.07,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,135.43,38.454,2.19,2.23,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,135.7,38.462,1.97,2.01,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,135.74,38.471,1.86,1.9,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,135.75,38.471,1.88,1.92,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,135.48,38.471,2.06,2.1,Oridorsalis umbonatus,2390,DawberTripati11
ODP1218,240.06,38.479,,,Oridorsalis umbonatus,3631,LearRosenthalOthers04
ODP1209,135.8,38.488,1.86,1.9,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,135.82,38.488,1.97,2.01,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,135.53,38.488,1.88,1.92,Oridorsalis umbonatus,2390,DawberTripati11
ODP0689,150.78,38.49,1.29,,Stilostomella subspinosa,1591,LearElderfieldOthers00
ODP0689,150.83,38.496,1.88,1.77,Cibicidoides spp. Billups,1591,BillupsSchrag03
ODP1209,135.85,38.496,1.85,1.89,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,135.58,38.504,2.23,2.27,Oridorsalis umbonatus,2390,DawberTripati11
ODP0689,150.97,38.507,1.32,,Stilostomella subspinosa,1590,LearElderfieldOthers00
ODP1209,135.9,38.513,,,Nuttallides truempyi,2390,DawberTripati11
ODP1209,135.95,38.521,2.11,2.15,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,135.63,38.521,1.92,1.96,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,136,38.529,1.98,2.02,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,135.68,38.529,2.08,2.12,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,136.02,38.538,1.97,2.01,Oridorsalis umbonatus,2390,DawberTripati11
ODP0689,151.39,38.544,,,Cibicidoides spp. Lear,1590,LearElderfieldOthers00
ODP1209,135.73,38.546,,,Nuttallides truempyi,2390,DawberTripati11
ODP1209,136.05,38.546,2.07,2.11,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,136.07,38.546,1.9,1.94,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,136.1,38.555,2.07,2.11,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,136.12,38.563,2.03,2.07,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,135.78,38.563,1.78,1.82,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,136.15,38.571,2.14,2.18,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,135.83,38.58,2.03,2.07,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,135.88,38.596,,,Nuttallides truempyi,2390,DawberTripati11
ODP1209,136.25,38.596,2.01,2.05,Oridorsalis umbonatus,2390,DawberTripati11
ODP1218,241.02,38.603,,,Oridorsalis umbonatus,3625,LearRosenthalOthers04
ODP1209,135.93,38.605,,,Nuttallides truempyi,2390,DawberTripati11
ODP1209,136.3,38.605,2,2.04,Oridorsalis umbonatus,2390,DawberTripati11
ODP1218,241.05,38.607,,,Oridorsalis umbonatus,3625,LearRosenthalOthers04
ODP1209,136.35,38.613,1.86,1.9,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,135.98,38.622,1.87,1.91,Oridorsalis umbonatus,2390,DawberTripati11
ODP0689,152.34,38.63,1.72,1.62,Cibicidoides spp. Billups,1588,BillupsSchrag03
ODP1209,136.4,38.63,1.93,1.97,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,136.45,38.638,1.87,1.91,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,136.03,38.638,2.08,2.12,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,136.5,38.655,2.18,2.22,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,136.08,38.655,1.97,2.01,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,136.1,38.655,2.11,2.15,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,136.55,38.663,2,2.04,Oridorsalis umbonatus,2390,DawberTripati11
ODP1218,241.55,38.671,,,Oridorsalis umbonatus,3621,LearRosenthalOthers04
ODP1209,136.15,38.672,1.82,1.86,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,136.6,38.68,2.14,2.18,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,136.65,38.689,2.16,2.2,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,136.2,38.689,1.84,1.88,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,136.7,38.697,2,2.04,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,136.25,38.705,1.88,1.92,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,136.75,38.714,2.14,2.18,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,136.8,38.722,2.08,2.12,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,136.3,38.722,1.86,1.9,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,136.35,38.73,1.77,1.81,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,136.85,38.739,1.88,1.92,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,136.9,38.747,2,2.04,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,136.4,38.747,1.75,1.79,Oridorsalis umbonatus,2390,DawberTripati11
ODP0689,153.8,38.756,1.81,1.7,Cibicidoides spp. Billups,1586,BillupsSchrag03
ODP1218,239.15,38.756,,,Oridorsalis umbonatus,3615,LearRosenthalOthers04
ODP0757,139.7,38.764,1.37,,Cibicidoides spp.,644,BillupsSchrag03
ODP1209,136.95,38.764,1.98,2.02,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,136.45,38.764,1.94,1.98,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,137,38.772,2.14,2.18,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,137.05,38.781,1.96,2,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,136.5,38.781,1.9,1.94,Oridorsalis umbonatus,2390,DawberTripati11
ODP1218,242.55,38.796,,,Oridorsalis umbonatus,3615,LearRosenthalOthers04
ODP1209,137.1,38.797,2.05,2.09,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,137.15,38.806,1.92,1.96,Oridorsalis umbonatus,2390,DawberTripati11
ODP0689,154.39,38.81,1.66,2.17,Cibicidoides spp. Lear,1585,LearElderfieldOthers00
ODP1218,239.65,38.821,,,Oridorsalis umbonatus,3611,LearRosenthalOthers04
ODP1209,137.2,38.823,1.96,2,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,137.25,38.831,2.16,2.2,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,137.3,38.848,2.06,2.1,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,137.35,38.856,2.05,2.09,Oridorsalis umbonatus,2390,DawberTripati11
ODP1218,243.05,38.856,,,Oridorsalis umbonatus,3611,LearRosenthalOthers04
ODP1209,137.4,38.873,2,2.04,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,137.45,38.881,1.98,2.02,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,137.5,38.89,2.12,2.16,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,137.55,38.906,2.3,2.34,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,137.6,38.915,2.11,2.15,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,137.75,38.957,2.14,2.18,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,137.8,38.965,1.93,1.97,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,137.85,38.973,2.1,2.14,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,137.9,38.99,2.21,2.25,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,137.95,38.998,2.05,2.09,Oridorsalis umbonatus,2390,DawberTripati11
ODP0689,156.68,39.015,1.78,1.68,Cibicidoides spp. Billups,1581,BillupsSchrag03
ODP1209,138,39.015,2,2.04,Oridorsalis umbonatus,2390,DawberTripati11
ODP0757,141.2,39.023,1.54,,Cibicidoides spp.,633,BillupsSchrag03
ODP1209,138.05,39.023,2.04,2.08,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,138.1,39.04,2.13,2.17,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,138.15,39.049,2.14,2.18,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,138.2,39.057,2.11,2.15,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,138.25,39.074,2.05,2.09,Oridorsalis umbonatus,2390,DawberTripati11
ODP0689,157.39,39.076,2.06,2.03,Oridorsalis umbonatus,1580,LearElderfieldOthers00
ODP0689,157.39,39.076,1.47,1.92,Cibicidoides spp. Lear,1580,LearElderfieldOthers00
ODP1209,138.3,39.083,,,Nuttallides truempyi,2390,DawberTripati11
ODP1209,138.35,39.099,2.11,2.15,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,138.4,39.108,2.18,2.22,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,138.45,39.125,2.29,2.33,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,138.5,39.133,,,Nuttallides truempyi,2390,DawberTripati11
ODP1209,138.55,39.142,,,Nuttallides truempyi,2390,DawberTripati11
ODP0689,158.27,39.155,1.76,2.3,Cibicidoides spp. Lear,1579,LearElderfieldOthers00
ODP1218,242.15,39.155,,,Oridorsalis umbonatus,3594,LearRosenthalOthers04
ODP1209,138.6,39.159,2.11,2.15,Oridorsalis umbonatus,2390,DawberTripati11
ODP0689,158.4,39.167,2.04,1.91,Cibicidoides spp. Billups,1579,BillupsSchrag03
ODP1209,138.65,39.167,2.06,2.1,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,138.7,39.184,2.29,2.33,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,138.75,39.193,2.08,2.12,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,138.8,39.21,2.03,2.07,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,138.85,39.218,2.04,2.08,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,138.9,39.227,1.99,2.03,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,138.95,39.244,,,Nuttallides truempyi,2390,DawberTripati11
ODP1209,138.95,39.244,,,Oridorsalis umbonatus,2390,DawberTripati11
ODP1209,139,39.252,1.98,2.02,Oridorsalis umbonatus,2390,DawberTripati11
ODP0689,159.43,39.261,1.75,1.65,Cibicidoides spp. Billups,1577,BillupsSchrag03
ODP1209,139.05,39.269,,,Nuttallides truempyi,2390,DawberTripati11
ODP1209,139.05,39.269,,,Oridorsalis umbonatus,2390,DawberTripati11
ODP0689,159.59,39.273,1.87,2.44,Cibicidoides spp. Lear,1577,LearElderfieldOthers00
ODP0689,159.94,39.303,2.1,1.96,Cibicidoides spp. Billups,1576,BillupsSchrag03
ODP1209,139.1,39.311,1.91,1.95,Oridorsalis umbonatus,2389,DawberTripati11
ODP1209,139.15,39.362,,,Cibicidoides spp. Dawber,2389,DawberTripati11
ODP1209,139.15,39.362,,,Nuttallides truempyi,2389,DawberTripati11
ODP1209,139.15,39.362,,,Oridorsalis umbonatus,2389,DawberTripati11
ODP0689,160.93,39.396,2.2,2.05,Cibicidoides spp. Billups,1575,BillupsSchrag03
ODP0757,143.2,39.405,1.66,,Cibicidoides spp.,617,BillupsSchrag03
ODP1209,139.2,39.413,,,Nuttallides truempyi,2389,DawberTripati11
ODP1209,139.25,39.464,,,Cibicidoides spp. Dawber,2389,DawberTripati11
ODP1209,139.25,39.464,,,Nuttallides truempyi,2389,DawberTripati11
ODP1209,139.25,39.464,,,Oridorsalis umbonatus,2389,DawberTripati11
ODP1209,139.28,39.49,,,Nuttallides truempyi,2389,DawberTripati11
ODP0689,162.06,39.499,2.25,2.1,Cibicidoides spp. Billups,1573,BillupsSchrag03
ODP1209,139.33,39.542,,,Nuttallides truempyi,2389,DawberTripati11
ODP0689,162.59,39.543,2.23,2.2,Oridorsalis umbonatus,1572,LearElderfieldOthers00
ODP0689,162.59,39.543,1.47,1.92,Cibicidoides spp. Lear,1572,LearElderfieldOthers00
ODP1209,139.35,39.559,2.17,2.21,Oridorsalis umbonatus,2389,DawberTripati11
ODP1218,246.65,39.573,,,Oridorsalis umbonatus,3572,LearRosenthalOthers04
ODP0757,144.2,39.594,1.43,,Cibicidoides spp.,608,BillupsSchrag03
ODP1209,139.38,39.594,2.17,2.21,Oridorsalis umbonatus,2389,DawberTripati11
ODP1209,139.4,39.611,1.92,1.96,Oridorsalis umbonatus,2389,DawberTripati11
ODP1209,139.43,39.646,2.07,2.11,Oridorsalis umbonatus,2388,DawberTripati11
ODP1209,139.45,39.663,2.06,2.1,Oridorsalis umbonatus,2388,DawberTripati11
ODP1209,139.48,39.698,2.03,2.07,Oridorsalis umbonatus,2388,DawberTripati11
ODP1218,250.45,39.7,,,Oridorsalis umbonatus,3567,LearRosenthalOthers04
ODP1218,250.45,39.7,,,Oridorsalis umbonatus,3567,LearRosenthalOthers04
